Model,DT,DT with GridCV,RF,RF with GridCV,LR,LR with GridCV,SVM,SVM with GridCV,NB,NB with GridCV
Train accuracy,1.0000,0.8500,1.0000,0.9050,0.8650,0.8500,0.8950,0.8600,0.6950,0.8450
Test accuracy,0.6552,0.7701,0.8276,0.8046,0.8506,0.8506,0.8046,0.7931,0.6782,0.8506
ROC-AUC train,1.0000,0.9117,1.0000,0.9814,0.9220,0.9143,0.9630,0.9445,0.8986,0.9083
ROC AUC test,0.6590,0.8221,0.8743,0.9046,0.9134,0.9179,0.8901,0.8951,0.8762,0.9290
Mean cross validation score-Train,0.7000,0.8050,0.8050,0.8350,0.7800,0.8150,0.7950,0.8100,0.6700,0.8300
Mean cross validation score-Test,0.7575,0.8033,0.8961,0.9183,0.8961,0.8837,0.8837,0.8830,0.6771,0.8843
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
